GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28121,"Rankin County, Mississippi",17.0481295,10.84996197,86.57336541,92.77746368,13.42663459,7.222536324,49881,39986,40133,32856,51515,41385,10657,10109,5541,10408,11947,10027,4.439558693,98.4362322,95.35830619,10.84996197
0500000US28123,"Scott County, Mississippi",30.20007924,22.46434231,62.00946284,78.17249475,37.99053716,21.82750525,36532,26296,28056,24699,40242,29458,6457,6615,4947,7159,9120,6601,10.84151586,97.72189349,96.03255341,22.46434231
0500000US28125,"Sharkey County, Mississippi",21.00608071,15.03593145,64.9112248,88.65187713,35.0887752,11.34812287,39082,26605,22348,26723,44777,25313,8158,13424,7078,10000,36667,35032,14.93799324,94.33760684,94.11764706,15.03593145
0500000US28127,"Simpson County, Mississippi",23.75026818,15.4473289,58.23802164,81.64732898,41.76197836,18.35267102,37389,31001,24360,25669,47167,35655,16030,7423,NA,6613,16875,8280,9.915335603,96.44495413,95.84615385,15.4473289
0500000US28129,"Smith County, Mississippi",18.1025641,10.15384615,73.81394116,84.5737261,26.18605884,15.4262739,41582,24445,32073,21591,44926,30931,6694,7295,4569,NA,11500,7661,4.675516224,97.52916953,93.79037299,10.15384615
0500000US28131,"Stone County, Mississippi",17.57819033,11.49021576,68.87626263,86.87065972,31.12373737,13.12934028,40121,28355,30729,19583,42183,31052,8114,6152,13053,2500,7240,6826,5.554190219,74.88433576,94.38827098,11.49021576
0500000US28133,"Sunflower County, Mississippi",35.96707819,23.16284539,59.88730103,89.92923244,40.11269897,10.07076756,31752,27958,27711,25781,48156,36010,9009,9116,7421,9170,11017,8333,17.54455056,93.83608815,95.55555556,23.16284539
0500000US28135,"Tallahatchie County, Mississippi",28.02607076,17.59776536,57.79978776,88.00246103,42.20021224,11.99753897,40857,24117,30507,22986,42816,27538,8981,8833,4543,6496,12018,9797,13.7254902,95.69707401,87.27699531,17.59776536
0500000US28137,"Tate County, Mississippi",25.76876997,16.79313099,69.36232268,87.08849459,30.63767732,12.91150541,46846,30762,32204,25956,50371,32615,7622,10158,6469,10417,8810,10126,7.716073833,95.78772803,94.66288673,16.79313099
0500000US28139,"Tippah County, Mississippi",16.38225256,12.16479766,67.3870334,79.75223279,32.6129666,20.24776721,37588,30890,27013,24886,40539,31557,8821,8667,11756,8404,8081,9005,8.936810431,91.94053208,95.5954323,12.16479766
